Date,Item,Variasi,qty
01/01/2021,Paket Stok Bulanan 2,IB,1
01/01/2021,Paket Stok Bulanan 2,SF,16
01/01/2021,VOKE Cartridge 1pcs,,14
01/01/2021,VOKE Cartridge 1pcs,,8
01/01/2021,Paket Stok Bulanan 2,Indonesian Kretek,4
01/01/2021,Bundling SK 15 ml,IB,5
01/01/2021,Paket Stok Bulanan 2,RM,17
01/01/2021,VOKE Cartridge 1pcs,,4
01/01/2021,Bundling SK 15 ml Christmas & NYE,SF,14
01/01/2021,VOKE Cartridge 1pcs,,5
01/01/2021,VOKE Cartridge 1pcs,,1
01/01/2021,Bundling SK 15 ml,Indonesian Kretek,3
01/01/2021,VOKE Hygiene Mouthpiece,,12
01/01/2021,Bundling SK 15 ml,RM,10
01/01/2021,Bundling SK 15 ml,Indonesian Kretek,19
01/01/2021,VOKE Cartridge 1pcs,,16
01/01/2021,Paket Stok Bulanan 2,Indonesian Kretek,14
01/01/2021,Bundling SK 15 ml,Punch Pop,4
01/01/2021,VOKE Berrypop,,7
01/01/2021,Bundling SK 15 ml,IB,20
01/01/2021,VOKE Hygiene Mouthpiece,,13
02/01/2021,Bundling SK 15 ml Christmas & NYE,SF,20
02/01/2021,Bundling SK 15 ml,Indonesian Kretek,2
02/01/2021,VOKE Hygiene Mouthpiece,,13
02/01/2021,VOKE Berrypop,,5
02/01/2021,VOKE Berrypop,,5
02/01/2021,VOKE Cartridge 1pcs,,4
02/01/2021,VOKE Hygiene Mouthpiece,,18
02/01/2021,VOKE Cartridge 1pcs,,8
02/01/2021,Bundling SK 15 ml,RM,15
02/01/2021,Paket Stok Bulanan 2,Punch Pop,19
02/01/2021,Bundling SK 15 ml,Indonesian Kretek,11
02/01/2021,VOKE Cartridge 1pcs,,16
02/01/2021,Bundling SK 15 ml,Punch Pop,14
02/01/2021,VOKE Cartridge 1pcs,,16
02/01/2021,Bundling SK 15 ml,IB,15
02/01/2021,VOKE Cartridge 1pcs,,14
02/01/2021,VOKE Cartridge 1pcs,,8
02/01/2021,Bundling SK 15 ml,SF,12
02/01/2021,Paket Stok Bulanan 2,IB,5
02/01/2021,VOKE Cartridge 1pcs,,4
02/01/2021,VOKE Cartridge 1pcs,,19
02/01/2021,VOKE Liquid C Series - Ice Blast,,14
02/01/2021,Bundling SK 15 ml,Indonesian Kretek,3
